Mode:Chase_Sees:False_Dist:far;Left;66.68387700530008
Mode:Chase_Sees:False_Dist:far;Down;66.50062645380578
Mode:Chase_Sees:False_Dist:far;Up;69.98721489917865
Mode:Chase_Sees:False_Dist:far;Right;67.25468330295479
Mode:Chase_Sees:True_Dist:far;Up;97.14347149385544
Mode:Chase_Sees:True_Dist:far;Down;86.20317485139388
Mode:Chase_Sees:True_Dist:mid;Left;97.30737474159253
Mode:Chase_Sees:True_Dist:mid;Down;94.6076470262225
Mode:Chase_Sees:True_Dist:far;Right;96.80248915475147
Mode:Chase_Sees:True_Dist:far;Left;89.02523742968451
Mode:Chase_Sees:True_Dist:mid;Right;98.67806457823991
Mode:Chase_Sees:True_Dist:mid;Up;91.23892087901851
Mode:Frightened_Sees:False_Dist:far;Left;-8.59419982033813
Mode:Frightened_Sees:False_Dist:far;Down;-8.490268854157103
Mode:Frightened_Sees:False_Dist:far;Up;-8.597656990919086
Mode:Frightened_Sees:False_Dist:far;Right;-8.261071313019022
Mode:Scatter_Sees:False_Dist:far;Down;-0.9564571085042246
Mode:Scatter_Sees:False_Dist:far;Up;-0.9560835396230074
Mode:Scatter_Sees:False_Dist:far;Left;-0.8302514480080896
Mode:Scatter_Sees:False_Dist:far;Right;-0.9558974839555928
Mode:Scatter_Sees:True_Dist:far;Up;-0.6027293663940849
Mode:Scatter_Sees:True_Dist:far;Down;-0.5790554634757527
Mode:Scatter_Sees:True_Dist:far;Left;-0.5442800085126925
Mode:Scatter_Sees:True_Dist:mid;Down;-0.5192100917250965
Mode:Scatter_Sees:True_Dist:far;Right;-0.7071103152812457
Mode:Scatter_Sees:True_Dist:mid;Left;-0.5053969659977657
Mode:Scatter_Sees:True_Dist:mid;Right;-0.5363197755158324
Mode:Scatter_Sees:True_Dist:mid;Up;-0.5304880989986845
Mode:Scatter_Sees:True_Dist:near;Down;-0.4660041752657616
Mode:Scatter_Sees:True_Dist:near;Right;-0.41971355387084436
Mode:Scatter_Sees:True_Dist:near;Up;-0.44817256230539404
Mode:Chase_Sees:True_Dist:near;Right;35.590547910829514
Mode:Chase_Sees:True_Dist:near;Left;47.47293496190583
Mode:Scatter_Sees:True_Dist:near;Left;-0.42052008997821805
Mode:Chase_Sees:True_Dist:near;Up;27.748367593247455
Mode:Frightened_Sees:True_Dist:far;Left;-0.95
Mode:Frightened_Sees:True_Dist:mid;Left;-0.5
Mode:Frightened_Sees:True_Dist:mid;Down;-1.355
Mode:Frightened_Sees:True_Dist:mid;Up;-1.355
Mode:Frightened_Sees:True_Dist:far;Down;-0.5
